bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,package_distance,pair_divergence
Closure_49,0,2,0.9998,0.6114,0.0000,0.6112
Closure_49,1,2,0.9996,0.6460,0.0000,0.6457
Closure_50,0,1,0.8934,0.5170,0.0000,0.4619
Closure_51,0,1,0.9124,0.4421,0.0000,0.4034
Closure_53,0,1,1.0000,0.3115,0.0000,0.3115
Closure_54,0,1,1.0000,1.0000,0.5714,0.7143
Closure_54,0,2,0.9438,1.0000,0.5714,0.6742
Closure_54,1,2,0.9903,0.6530,0.0000,0.6466
Closure_60,0,1,0.9824,0.6040,0.0000,0.5934
Closure_64,0,1,0.9666,0.6085,0.0000,0.5882
Closure_68,0,1,1.0000,0.7781,0.0000,0.7781
Closure_68,0,2,1.0000,0.7916,0.0000,0.7916
Closure_68,1,2,0.0000,0.5495,0.0000,0.0000
Closure_72,0,1,0.9845,1.0000,0.3333,0.5470
Closure_74,0,1,0.9557,0.3142,0.0000,0.3003
Closure_75,0,1,0.9799,0.5349,0.0000,0.5242
Closure_76,0,1,0.9993,0.5849,0.0000,0.5845
Closure_76,0,2,0.7840,0.6180,0.0000,0.4845
Closure_76,0,3,0.9994,0.6989,0.0000,0.6985
Closure_76,1,2,0.9587,0.3899,0.0000,0.3738
Closure_76,1,3,0.5391,0.5473,0.0000,0.2951
Closure_76,2,3,0.9993,0.3899,0.0000,0.3896
Closure_79,0,1,0.9748,1.0000,0.3333,0.5416
Closure_80,0,1,0.4243,0.6592,0.0000,0.2797
Closure_84,0,1,0.7123,0.6175,0.0000,0.4398
Closure_84,0,2,0.9335,0.4117,0.0000,0.3843
Closure_84,1,2,0.9667,0.4780,0.0000,0.4620
Closure_85,0,1,0.9920,0.5566,0.0000,0.5522
Closure_85,0,2,0.9096,0.5566,0.0000,0.5063
Closure_85,1,2,0.9449,0.7449,0.0000,0.7039
Closure_89,0,1,0.9512,1.0000,0.3333,0.5284
Closure_90,0,1,0.9422,1.0000,0.5714,0.6730
Closure_98,0,1,0.9986,0.4160,0.0000,0.4155
Closure_98,0,2,0.9051,0.4830,0.0000,0.4372
Closure_98,1,2,0.9928,0.2080,0.0000,0.2065
Closure_99,0,1,0.9892,0.7541,0.0000,0.7460
Closure_100,0,1,0.9643,0.5721,0.0000,0.5517
Closure_103,0,1,1.0000,1.0000,0.3333,0.5556
Closure_105,0,1,0.9482,0.3066,0.0000,0.2907
Closure_106,0,1,0.9834,1.0000,0.5000,0.6556
Closure_108,0,1,0.9416,0.5000,0.0000,0.4708
Closure_108,0,2,0.9472,0.7364,0.0000,0.6976
Closure_108,0,3,0.9847,0.5430,0.0000,0.5347
Closure_108,1,2,0.8922,0.8217,0.0000,0.7331
Closure_108,1,3,0.9862,0.6934,0.0000,0.6839
Closure_108,2,3,0.9690,0.8360,0.0000,0.8100
Closure_110,0,1,0.9579,0.5430,0.0000,0.5202
Closure_110,0,2,0.9400,0.5430,0.0000,0.5104
Closure_110,0,3,0.9834,0.5430,0.0000,0.5340
Closure_110,0,4,0.9543,0.6425,0.0000,0.6132
Closure_110,0,5,0.9686,1.0000,0.5000,0.6458
Closure_110,1,2,0.9965,0.0000,0.0000,0.0000
Closure_110,1,3,0.8905,0.0000,0.0000,0.0000
Closure_110,1,4,0.9948,0.3869,0.0000,0.3848
Closure_110,1,5,0.9917,1.0000,0.5000,0.6611
Closure_110,2,3,0.9650,0.0000,0.0000,0.0000
Closure_110,2,4,0.9257,0.3869,0.0000,0.3581
Closure_110,2,5,0.9490,1.0000,0.5000,0.6327
Closure_110,3,4,0.9856,0.3869,0.0000,0.3813
Closure_110,3,5,0.9780,1.0000,0.5000,0.6520
Closure_110,4,5,0.9092,1.0000,0.5000,0.6062
Closure_115,0,1,0.9834,0.5759,0.0000,0.5663
Closure_116,0,1,0.9873,0.5389,0.0000,0.5320
Closure_117,0,1,0.0000,0.0000,0.0000,0.0000
Closure_134,0,1,0.9639,0.7107,0.0000,0.6850
Closure_134,0,2,0.9510,0.7107,0.0000,0.6759
Closure_134,0,3,0.9543,0.6284,0.0000,0.5997
Closure_134,0,4,0.9854,0.6585,0.0000,0.6489
Closure_134,0,5,0.9813,1.0000,0.3333,0.5451
Closure_134,1,2,0.8119,0.5565,0.0000,0.4519
Closure_134,1,3,0.9592,0.5124,0.0000,0.4915
Closure_134,1,4,0.9821,0.5565,0.0000,0.5466
Closure_134,1,5,0.9753,1.0000,0.3333,0.5419
Closure_134,2,3,0.8928,0.5124,0.0000,0.4575
Closure_134,2,4,0.9716,0.5565,0.0000,0.5407
Closure_134,2,5,0.9715,1.0000,0.3333,0.5397
Closure_134,3,4,0.9743,0.1982,0.0000,0.1931
Closure_134,3,5,0.9532,1.0000,0.3333,0.5296
Closure_134,4,5,0.9305,1.0000,0.3333,0.5170
Closure_135,0,1,0.9696,1.0000,0.5714,0.6926
Closure_135,0,2,0.9400,1.0000,0.5714,0.6714
Closure_135,1,2,0.9478,0.5615,0.0000,0.5322
Closure_136,0,1,0.9883,1.0000,0.3333,0.5490
Closure_137,0,1,0.9765,0.3965,0.0000,0.3872
Closure_137,0,2,0.9950,0.3965,0.0000,0.3945
Closure_137,0,3,0.9992,0.3965,0.0000,0.3961
Closure_137,0,4,1.0000,0.5124,0.0000,0.5124
Closure_137,0,5,0.9803,0.6284,0.0000,0.6160
