bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_file,avg_divergence
Compress_9,2,1,0.9999,0.4037,0.0,0.2798
Csv_13,2,1,0.9594,1.0,0.25,0.3325
Csv_16,4,6,0.982417,0.452467,0.0,0.615
Csv_7,2,1,0.991,0.7196,0.0,0.4943
Csv_8,2,1,0.591,0.6914,0.0,0.2832
Gson_1,2,1,0.8875,0.6744,0.0,0.4149
Gson_14,2,1,0.2478,0.5389,0.0,0.0926
Gson_3,2,1,0.9954,0.5956,0.0,0.411
Gson_4,12,66,0.550091,0.633358,0.067333,0.5309
Gson_7,2,1,0.0,0.6299,0.0,0.0
Gson_8,5,10,0.68178,0.71047,0.0,0.7323
Gson_9,3,3,0.713233,1.0,0.333333,0.4268
JacksonCore_1,3,3,0.914233,0.838067,0.2222,0.5461
JacksonCore_10,2,1,0.8871,0.6175,0.0,0.3797
JacksonCore_12,8,28,0.744004,0.630096,0.05555,0.7706
JacksonCore_16,3,3,0.9743,0.392167,0.0,0.4179
JacksonCore_17,3,3,0.972367,0.543367,0.0,0.5867
JacksonCore_18,4,6,0.832433,0.866967,0.259233,0.5565
JacksonCore_19,2,1,0.0,1.0,0.2222,0.0
JacksonCore_2,8,28,0.661657,0.767804,0.119036,0.6674
JacksonCore_21,2,1,1.0,0.4527,0.0,0.3138
JacksonCore_22,7,21,0.664043,0.796533,0.0,0.9955
JacksonCore_24,4,6,0.74185,0.7755,0.148133,0.5049
JacksonCore_9,6,15,0.0,0.912147,0.237013,0.0
JacksonDatabind_10,5,10,0.85759,0.69204,0.08888,0.659
JacksonDatabind_103,26,325,0.89295,0.983726,0.313058,1.5986
JacksonDatabind_104,3,3,0.895,0.469767,0.0,0.463
JacksonDatabind_105,2,1,0.9784,0.8668,0.0,0.5879
JacksonDatabind_108,2,1,0.9673,0.4,0.0,0.2682
JacksonDatabind_109,5,10,0.90443,0.80163,0.12,0.7022
JacksonDatabind_110,3,3,0.977967,0.543767,0.0,0.5842
JacksonDatabind_111,9,36,0.626725,0.969264,0.230556,0.6818
JacksonDatabind_13,2,1,0.0,1.0,0.3,0.0
JacksonDatabind_14,2,1,0.8756,0.517,0.0,0.3138
JacksonDatabind_15,11,55,0.904573,0.826704,0.175151,1.147
JacksonDatabind_18,9,36,0.959628,0.405194,0.0,0.8512
JacksonDatabind_20,2,1,1.0,0.478,0.0,0.3313
JacksonDatabind_21,2,1,0.9961,0.3333,0.0,0.2301
JacksonDatabind_22,12,66,0.880226,0.647262,0.067333,1.0804
JacksonDatabind_23,7,21,0.578671,0.3333,0.0,0.3753
JacksonDatabind_25,4,6,0.6632,1.0,0.348133,0.5261
JacksonDatabind_29,2,1,0.7212,0.5218,0.0,0.2608
JacksonDatabind_3,2,1,0.965,0.81,0.0,0.5418
JacksonDatabind_30,6,15,0.901867,0.73292,0.17776,0.7909
JacksonDatabind_31,13,78,0.843603,0.380158,0.0,0.7629
JacksonDatabind_32,2,1,0.9161,0.736,0.0,0.4673
JacksonDatabind_36,2,1,0.9581,0.4117,0.0,0.2734
JacksonDatabind_38,6,15,0.862613,0.912487,0.17776,0.7749
JacksonDatabind_4,4,6,0.789333,0.506233,0.0,0.5489
JacksonDatabind_41,2,1,0.4188,0.5389,0.0,0.1565
JacksonDatabind_43,2,1,0.9918,0.5568,0.0,0.3828
JacksonDatabind_48,2,1,0.3295,1.0,0.25,0.1142
JacksonDatabind_50,6,15,0.9626,0.4196,0.0,0.7237
JacksonDatabind_52,2,1,0.9815,1.0,0.3,0.3628
JacksonDatabind_53,7,21,0.957381,0.655543,0.10581,0.762
JacksonDatabind_54,2,1,0.9236,0.5803,0.0,0.3715
JacksonDatabind_55,3,3,0.976933,0.554267,0.0,0.593
JacksonDatabind_56,2,1,0.9529,0.4926,0.0,0.3253
JacksonDatabind_59,4,6,0.811267,1.0,0.27775,0.5816
JacksonDatabind_6,2,1,0.9501,0.4206,0.0,0.277
JacksonDatabind_60,4,6,0.981083,0.4531,0.0,0.6181
JacksonDatabind_61,3,3,0.366867,0.8599,0.266667,0.2418
JacksonDatabind_65,3,3,0.932367,0.907867,0.266667,0.6511
JacksonDatabind_66,3,3,0.967267,0.471933,0.0,0.5067
JacksonDatabind_68,10,45,0.382553,0.551669,0.0,0.4392
JacksonDatabind_69,6,15,0.92666,0.556233,0.0,0.9105
JacksonDatabind_72,2,1,0.9998,0.0,0.0,0.0
JacksonDatabind_73,4,6,0.983933,0.828033,0.148133,0.6578
JacksonDatabind_75,3,3,0.963133,0.688467,0.0,0.729
JacksonDatabind_77,2,1,0.9757,0.3115,0.0,0.2107
JacksonDatabind_78,3,3,0.982367,0.206,0.0,0.2236
JacksonDatabind_79,4,6,0.938417,0.833333,0.274067,0.5917
JacksonDatabind_8,2,1,0.9951,0.195,0.0,0.1345
JacksonDatabind_80,3,3,0.703667,0.532,0.0,0.4138
JacksonDatabind_81,7,21,0.81379,0.735243,0.0,1.1579
JacksonDatabind_87,8,28,0.982018,0.545032,0.0,1.1163
JacksonDatabind_90,2,1,0.7994,1.0,0.3,0.2955
JacksonDatabind_94,2,1,0.9853,0.7067,0.0,0.4826
JacksonDatabind_95,4,6,0.607283,0.826583,0.1111,0.4802
JacksonXml_1,2,1,0.4777,0.646,0.0,0.2139
JacksonXml_2,4,6,0.967517,0.381083,0.0,0.5082
JacksonXml_6,2,1,0.9579,0.0,0.0,0.0
Jsoup_11,4,6,0.86095,0.57695,0.0,0.6521
Jsoup_12,2,1,0.9739,0.3811,0.0,0.2573
Jsoup_14,2,1,0.9811,1.0,0.2857,0.3562
Jsoup_16,3,3,0.979733,0.6243,0.0,0.6716
Jsoup_18,2,1,0.9707,0.6123,0.0,0.412
Jsoup_21,3,3,0.908267,0.9068,0.190467,0.5798
Jsoup_22,6,15,0.781007,0.848733,0.257147,0.7505
Jsoup_23,2,1,0.9999,1.0,0.2857,0.3631
Jsoup_28,6,15,0.969127,0.826667,0.295253,0.9281
Jsoup_29,2,1,0.9918,0.5566,0.0,0.3827
Jsoup_3,13,78,0.944545,0.767656,0.252754,1.1402
Jsoup_30,3,3,0.960933,0.2908,0.0,0.3184
Jsoup_31,3,3,0.977967,1.0,0.2857,0.5628
Jsoup_36,4,6,0.956217,0.550683,0.0,0.7263
Jsoup_4,2,1,0.9498,0.634,0.0,0.4174
Jsoup_42,2,1,0.9844,0.6382,0.0,0.4355
Jsoup_50,2,1,0.9976,0.3199,0.0,0.2212
Jsoup_52,4,6,0.990983,0.943867,0.357167,0.8606
Jsoup_56,10,45,0.951438,0.891511,0.304773,1.2341
Jsoup_58,4,6,0.974467,0.869683,0.357167,0.7439
Jsoup_59,2,1,1.0,0.3372,0.0,0.2337
Jsoup_60,2,1,0.9504,1.0,0.4286,0.4078
Jsoup_63,5,10,0.92852,0.70906,0.11428,0.7828
Jsoup_65,3,3,0.728467,0.878433,0.190467,0.4385
Jsoup_66,2,1,0.9269,0.4764,0.0,0.3061
Jsoup_67,2,1,0.984,0.3839,0.0,0.2619
Jsoup_7,3,3,0.990667,0.3291,0.0,0.3581
Jsoup_71,3,3,0.982267,0.779067,0.190467,0.4969
Jsoup_73,4,6,0.979783,0.53435,0.0,0.7241
Jsoup_74,2,1,0.9806,0.5904,0.0,0.4013
Jsoup_78,2,1,0.9834,0.5436,0.0,0.3706
Jsoup_79,2,1,0.9609,0.4628,0.0,0.3082
Jsoup_81,2,1,0.9904,0.7196,0.0,0.494
Jsoup_83,4,6,0.892533,0.825467,0.14285,0.7004
Jsoup_87,47,1081,0.843839,0.746349,0.162278,1.5569
Jsoup_91,3,3,0.9447,0.738433,0.285733,0.5007
Jsoup_92,8,28,0.972864,0.840189,0.306136,1.051
JxPath_1,2,1,0.9589,1.0,0.3,0.3545
JxPath_11,5,10,0.92331,0.83928,0.18,0.834
JxPath_13,11,55,0.934353,0.682496,0.203636,1.0808
JxPath_15,2,1,0.9909,0.494,0.0,0.3393
JxPath_16,2,1,0.8306,1.0,0.3,0.307
JxPath_17,5,10,0.96757,0.84529,0.18,0.8808
JxPath_18,4,6,0.994183,0.382283,0.0,0.5263
JxPath_19,3,3,0.827733,0.8695,0.2,0.5072
JxPath_2,4,6,0.916267,0.5663,0.0,0.7017
JxPath_20,2,1,0.971,0.5797,0.0,0.3902
JxPath_3,4,6,0.81385,0.5727,0.0,0.6089
JxPath_4,7,21,0.931729,0.69359,0.171429,0.7705
JxPath_7,7,21,0.674348,0.882152,0.190457,0.5472
JxPath_9,5,10,0.8489,0.80136,0.15554,0.5906
Lang_13,3,3,0.966,0.544433,0.0,0.5752
Lang_15,2,1,0.9834,0.624,0.0,0.4254
Lang_19,3,3,0.9166,0.1402,0.0,0.1416
Lang_20,2,1,0.1008,0.5473,0.0,0.0382
Lang_23,2,1,0.9965,0.2018,0.0,0.1394
Lang_27,2,1,0.723,0.6131,0.0,0.3073
Lang_30,7,21,0.737814,0.514433,0.0,0.758
Lang_32,4,6,0.842783,0.464333,0.0,0.5369
Lang_34,2,1,0.9125,0.5312,0.0,0.336
Lang_35,2,1,0.6515,0.7336,0.0,0.3313
Lang_36,2,1,0.8475,0.6934,0.0,0.4074
Lang_4,3,3,0.9287,0.516767,0.0,0.5379
Lang_41,3,3,0.8169,0.366133,0.0,0.3382
Lang_46,7,21,0.858024,0.566538,0.0,0.9582
Lang_47,2,1,0.0,0.6983,0.0,0.0
Lang_5,2,1,1.0,0.3333,0.0,0.231
Lang_50,2,1,0.0,0.4037,0.0,0.0
Lang_56,2,1,0.9843,0.0,0.0,0.0
Lang_60,2,1,0.3029,0.6398,0.0,0.1343
Lang_62,2,1,0.3658,0.8795,0.0,0.223
Lang_63,2,1,0.973,0.3758,0.0,0.2535
