bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_package,avg_divergence
Lang_23,2,1,1.0,0.0,0.0,0.0
Lang_27,2,1,1.0,0.2593,0.0,0.1296
Lang_30,7,21,0.691933,0.228557,0.0,0.082162
Lang_32,4,6,0.799867,0.13335,0.0,0.0477
Lang_34,2,1,0.6364,0.1875,0.0,0.0597
Lang_35,2,1,0.4177,0.4615,0.0,0.0964
Lang_36,2,1,1.0,0.1111,0.0,0.0556
Lang_4,3,3,0.6362,0.315767,0.0,0.097233
Lang_41,3,3,0.665233,0.153867,0.0,0.053767
Lang_46,7,21,0.52631,0.266681,0.0,0.077748
Lang_47,2,1,0.0,0.0,0.0,0.0
Lang_5,2,1,0.0,0.0,0.0,0.0
Lang_50,2,1,0.0088,0.16,0.0,0.0007
Lang_56,2,1,1.0,0.04,0.0,0.02
Lang_60,2,1,0.1009,0.2222,0.0,0.0112
Lang_62,2,1,1.0,0.4211,0.0,0.2105
Lang_63,2,1,0.9413,0.1176,0.0,0.0554
Lang_64,2,1,1.0,0.0,0.0,0.0
Lang_65,3,3,0.913033,0.119067,0.0,0.051767
Lang_7,2,1,0.8418,0.12,0.0,0.0505
Lang_8,3,3,0.802067,0.179467,0.0,0.0631
Math_1,2,1,0.0,1.0,0.0,0.0
Math_100,2,1,0.7789,0.1923,0.0,0.0749
Math_106,2,1,0.1652,0.0,0.0,0.0
Math_12,2,1,1.0,0.0,0.0,0.0
Math_14,2,1,0.834,1.0,0.0909,0.3285
Math_15,2,1,1.0,0.0862,0.0,0.0431
Math_16,3,3,0.667533,0.046,0.0,0.0115
Math_18,3,3,0.534767,0.355533,0.0,0.090867
Math_21,3,3,0.840167,0.3889,0.0,0.1596
Math_22,2,1,0.1707,1.0,0.0,0.0569
Math_23,3,3,0.833933,0.405767,0.0,0.152367
Math_24,2,1,0.1143,0.7826,0.0,0.0447
Math_26,2,1,0.358,0.4211,0.0,0.0754
Math_28,4,6,0.0,0.0,0.0,0.0
Math_29,2,1,1.0,0.1,0.0,0.05
Math_31,3,3,0.823867,0.333333,0.0,0.138367
Math_35,2,1,0.0,0.4,0.0,0.0
Math_36,2,1,0.0,0.0,0.0,0.0
Math_37,2,1,0.0,0.3333,0.0,0.0
Math_38,2,1,0.4779,0.3421,0.0,0.0817
Math_4,2,1,0.0,1.0,0.1818,0.0
Math_44,3,3,0.666667,0.111133,0.0,0.055533
Math_46,2,1,0.0,0.5556,0.0,0.0
Math_47,4,6,0.7689,0.222233,0.0,0.096783
Math_49,4,6,0.0,0.2727,0.0,0.0
Math_52,2,1,0.8909,0.2424,0.0,0.108
Math_54,2,1,1.0,0.1034,0.0,0.0517
Math_55,2,1,0.7143,0.15,0.0,0.0536
Math_6,12,66,0.723227,0.954183,0.22725,0.341145
Math_61,2,1,0.716,0.3529,0.0,0.1263
Math_62,2,1,0.8389,0.3636,0.0,0.1525
Math_64,10,45,0.751176,0.242409,0.0,0.098176
Math_65,2,1,0.6117,0.3043,0.0,0.0931
Math_66,6,15,0.71088,0.246367,0.0,0.08282
Math_68,5,10,0.8398,0.20604,0.0,0.09244
Math_7,2,1,0.7982,0.4444,0.0,0.1774
Math_71,2,1,0.0,1.0,0.0,0.0
Math_72,2,1,0.0645,0.4348,0.0,0.014
Math_76,2,1,0.0438,0.3529,0.0,0.0077
Math_77,2,1,0.8628,1.0,0.0,0.2876
Math_78,2,1,1.0,0.0,0.0,0.0
Math_81,3,3,0.900967,0.3063,0.0,0.1304
Math_83,2,1,0.8491,0.2083,0.0,0.0884
Math_84,2,1,1.0,0.0,0.0,0.0
Math_86,2,1,1.0,0.1852,0.0,0.0926
Math_90,2,1,0.0,0.0,0.0,0.0
Math_92,3,3,0.783033,0.123467,0.0,0.0494
Math_93,3,3,0.666667,0.0494,0.0,0.024667
Math_98,2,1,0.2593,1.0,0.0,0.0864
Math_99,2,1,0.0,0.0,0.0,0.0
Mockito_10,3,3,0.958067,0.266667,0.0,0.124933
Mockito_14,4,6,0.794783,0.745533,0.0,0.19325
Mockito_15,2,1,1.0,0.5625,0.0,0.2812
Mockito_16,3,3,0.783833,0.880967,0.0606,0.2919
Mockito_17,4,6,0.7923,0.749017,0.1212,0.27655
Mockito_19,9,36,0.781264,0.894575,0.009267,0.237358
Mockito_2,3,3,0.666667,0.0,0.0,0.0
Mockito_20,2,1,0.5888,0.5882,0.0,0.1732
Mockito_21,2,1,1.0,0.0714,0.0,0.0357
Mockito_23,5,10,0.8905,0.10668,0.0,0.05206
Mockito_25,5,10,0.82058,0.16,0.0,0.06921
Mockito_3,2,1,1.0,0.2273,0.0,0.1136
Mockito_30,2,1,0.6894,1.0,0.3636,0.3969
Mockito_31,2,1,1.0,0.2667,0.0,0.1333
Mockito_32,2,1,1.0,0.3704,0.0,0.1852
Mockito_35,3,3,0.1229,0.5,0.0,0.030733
Mockito_36,2,1,0.0,0.0,0.0,0.0
Mockito_4,3,3,0.666667,0.380933,0.0,0.095267
Mockito_6,20,190,0.123428,0.4286,0.0,0.026458
Mockito_9,2,1,0.0,0.0,0.0,0.0
Time_1,2,1,0.7805,1.0,0.1,0.3122
Time_10,2,1,1.0,0.1429,0.0,0.0714
Time_12,4,6,0.503083,0.7,0.0,0.09685
Time_13,3,3,0.666667,0.129,0.0,0.064533
Time_2,3,3,0.666667,0.728067,0.066667,0.164033
Time_23,2,1,1.0,0.1212,0.0,0.0606
Time_26,8,28,0.553646,0.6875,0.0399,0.18815
Time_3,10,45,0.130178,0.3529,0.0,0.022971
Time_6,3,3,0.0,0.0,0.0,0.0
Time_9,3,3,0.666667,0.051267,0.0,0.025667
